symptom,home_care,medicine_note,when_to_see_doctor
abdominal_pain,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
body_pain,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
breathlessness,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
burning_sensation,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
chest_pain,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
cold,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
cough,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
diarrhea,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
dizziness,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
fatigue,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
fever,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
headache,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
itching,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
joint_pain,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
nasal_congestion,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
nausea,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
rash,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
redness,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
runny_nose,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
shortness_of_breath,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
sneezing,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
sore_throat,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
stomach_pain,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
swelling,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
vomiting,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
weakness,"Rest, hydrate, and avoid strain",Over-the-counter medication if required,If symptoms worsen or persist
