question_id,symptom,question,slot,required,priority
1,redness,When did it start?,unknown,yes,1
2,redness,Do you have fever with this?,unknown,yes,1
3,redness,How long have you had this symptom?,unknown,yes,1
4,redness,Is the pain mild,unknown,yes,1
5,redness,moderate,unknown,yes,1
6,redness,or severe?,unknown,yes,1
7,runny_nose,How long have you had this symptom?,unknown,yes,1
8,runny_nose,Any recent travel?,unknown,yes,1
9,stomach_pain,Any recent travel?,unknown,yes,1
10,stomach_pain,Do you have fever with this?,unknown,yes,1
11,stomach_pain,When did it start?,unknown,yes,1
12,runny_nose,Do you have fever with this?,unknown,yes,1
13,runny_nose,Is the pain mild,unknown,yes,1
14,runny_nose,moderate,unknown,yes,1
15,runny_nose,or severe?,unknown,yes,1
16,runny_nose,Are symptoms getting worse?,unknown,yes,1
17,redness,Do you have fever with this?,unknown,yes,1
18,redness,Any recent travel?,unknown,yes,1
19,redness,Are symptoms getting worse?,unknown,yes,1
20,sore_throat,Is the pain mild,unknown,yes,1
21,sore_throat,moderate,unknown,yes,1
22,sore_throat,or severe?,unknown,yes,1
23,sore_throat,Do you have fever with this?,unknown,yes,1
24,sore_throat,How long have you had this symptom?,unknown,yes,1
25,sore_throat,When did it start?,unknown,yes,1
26,body_pain,Are symptoms getting worse?,unknown,yes,1
27,body_pain,Any known allergies?,unknown,yes,1
28,body_pain,When did it start?,unknown,yes,1
29,body_pain,Any recent travel?,unknown,yes,1
30,burning_sensation,Any recent travel?,unknown,yes,1
31,burning_sensation,Do you have fever with this?,unknown,yes,1
32,cough,How long have you had this symptom?,unknown,yes,1
33,cough,Any known allergies?,unknown,yes,1
34,cough,Are symptoms getting worse?,unknown,yes,1
35,cough,Any recent travel?,unknown,yes,1
36,cough,When did it start?,unknown,yes,1
37,nausea,Is the pain mild,unknown,yes,1
38,nausea,moderate,unknown,yes,1
39,nausea,or severe?,unknown,yes,1
40,nausea,Any known allergies?,unknown,yes,1
41,nausea,How long have you had this symptom?,unknown,yes,1
42,joint_pain,How long have you had this symptom?,unknown,yes,1
43,joint_pain,Any recent travel?,unknown,yes,1
44,joint_pain,Any known allergies?,unknown,yes,1
45,fatigue,Are symptoms getting worse?,unknown,yes,1
46,cough,How long have you had this symptom?,unknown,yes,1
47,cough,Do you have fever with this?,unknown,yes,1
48,cough,Is the pain mild,unknown,yes,1
49,cough,moderate,unknown,yes,1
50,cough,or severe?,unknown,yes,1
51,cough,Any known allergies?,unknown,yes,1
52,nausea,Are symptoms getting worse?,unknown,yes,1
53,nausea,Any known allergies?,unknown,yes,1
54,nausea,How long have you had this symptom?,unknown,yes,1
55,nausea,Do you have fever with this?,unknown,yes,1
56,nausea,When did it start?,unknown,yes,1
57,dizziness,Is the pain mild,unknown,yes,1
58,dizziness,moderate,unknown,yes,1
59,dizziness,or severe?,unknown,yes,1
60,dizziness,Are symptoms getting worse?,unknown,yes,1
61,dizziness,Do you have fever with this?,unknown,yes,1
62,dizziness,When did it start?,unknown,yes,1
63,fever,When did it start?,unknown,yes,1
64,fever,Any known allergies?,unknown,yes,1
65,fever,Is the pain mild,unknown,yes,1
66,fever,moderate,unknown,yes,1
67,fever,or severe?,unknown,yes,1
68,fever,Do you have fever with this?,unknown,yes,1
69,shortness_of_breath,When did it start?,unknown,yes,1
70,shortness_of_breath,Is the pain mild,unknown,yes,1
71,shortness_of_breath,moderate,unknown,yes,1
72,shortness_of_breath,or severe?,unknown,yes,1
73,shortness_of_breath,Do you have fever with this?,unknown,yes,1
74,vomiting,Do you have fever with this?,unknown,yes,1
75,vomiting,Any recent travel?,unknown,yes,1
76,sore_throat,Do you have fever with this?,unknown,yes,1
77,sore_throat,How long have you had this symptom?,unknown,yes,1
78,sore_throat,Is the pain mild,unknown,yes,1
79,sore_throat,moderate,unknown,yes,1
80,sore_throat,or severe?,unknown,yes,1
81,fatigue,Is the pain mild,unknown,yes,1
82,fatigue,moderate,unknown,yes,1
83,fatigue,or severe?,unknown,yes,1
84,diarrhea,Any known allergies?,unknown,yes,1
85,diarrhea,Is the pain mild,unknown,yes,1
86,diarrhea,moderate,unknown,yes,1
87,diarrhea,or severe?,unknown,yes,1
88,diarrhea,Any recent travel?,unknown,yes,1
89,diarrhea,How long have you had this symptom?,unknown,yes,1
90,dizziness,Any recent travel?,unknown,yes,1
91,dizziness,Is the pain mild,unknown,yes,1
92,dizziness,moderate,unknown,yes,1
93,dizziness,or severe?,unknown,yes,1
94,dizziness,Are symptoms getting worse?,unknown,yes,1
95,burning_sensation,When did it start?,unknown,yes,1
96,itching,Do you have fever with this?,unknown,yes,1
97,itching,Any known allergies?,unknown,yes,1
98,joint_pain,Any known allergies?,unknown,yes,1
99,joint_pain,Are symptoms getting worse?,unknown,yes,1
100,joint_pain,Do you have fever with this?,unknown,yes,1
101,joint_pain,When did it start?,unknown,yes,1
102,joint_pain,Any recent travel?,unknown,yes,1
103,vomiting,Do you have fever with this?,unknown,yes,1
104,vomiting,When did it start?,unknown,yes,1
105,vomiting,Any known allergies?,unknown,yes,1
106,rash,How long have you had this symptom?,unknown,yes,1
107,rash,When did it start?,unknown,yes,1
108,rash,Any recent travel?,unknown,yes,1
109,rash,Are symptoms getting worse?,unknown,yes,1
110,swelling,Any known allergies?,unknown,yes,1
111,swelling,How long have you had this symptom?,unknown,yes,1
112,swelling,Is the pain mild,unknown,yes,1
113,swelling,moderate,unknown,yes,1
114,swelling,or severe?,unknown,yes,1
115,swelling,Do you have fever with this?,unknown,yes,1
116,burning_sensation,Is the pain mild,unknown,yes,1
117,burning_sensation,moderate,unknown,yes,1
118,burning_sensation,or severe?,unknown,yes,1
119,burning_sensation,Do you have fever with this?,unknown,yes,1
120,burning_sensation,When did it start?,unknown,yes,1
121,burning_sensation,Any known allergies?,unknown,yes,1
122,burning_sensation,How long have you had this symptom?,unknown,yes,1
123,burning_sensation,Is the pain mild,unknown,yes,1
124,burning_sensation,moderate,unknown,yes,1
125,burning_sensation,or severe?,unknown,yes,1
126,burning_sensation,Any recent travel?,unknown,yes,1
127,cough,Are symptoms getting worse?,unknown,yes,1
128,cough,Is the pain mild,unknown,yes,1
129,cough,moderate,unknown,yes,1
130,cough,or severe?,unknown,yes,1
131,cough,Any recent travel?,unknown,yes,1
132,cough,Do you have fever with this?,unknown,yes,1
133,cough,How long have you had this symptom?,unknown,yes,1
134,stomach_pain,Do you have fever with this?,unknown,yes,1
135,stomach_pain,Any recent travel?,unknown,yes,1
136,stomach_pain,Is the pain mild,unknown,yes,1
137,stomach_pain,moderate,unknown,yes,1
138,stomach_pain,or severe?,unknown,yes,1
139,fatigue,When did it start?,unknown,yes,1
140,fatigue,Do you have fever with this?,unknown,yes,1
141,fatigue,Is the pain mild,unknown,yes,1
142,fatigue,moderate,unknown,yes,1
143,fatigue,or severe?,unknown,yes,1
144,fatigue,Are symptoms getting worse?,unknown,yes,1
145,stomach_pain,Is the pain mild,unknown,yes,1
146,stomach_pain,moderate,unknown,yes,1
147,stomach_pain,or severe?,unknown,yes,1
148,stomach_pain,When did it start?,unknown,yes,1
149,stomach_pain,Any known allergies?,unknown,yes,1
150,stomach_pain,Do you have fever with this?,unknown,yes,1
151,dizziness,Any recent travel?,unknown,yes,1
152,dizziness,Do you have fever with this?,unknown,yes,1
153,sore_throat,When did it start?,unknown,yes,1
154,sore_throat,How long have you had this symptom?,unknown,yes,1
155,sore_throat,Is the pain mild,unknown,yes,1
156,sore_throat,moderate,unknown,yes,1
157,sore_throat,or severe?,unknown,yes,1
158,sore_throat,Do you have fever with this?,unknown,yes,1
